location,year,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,2020,8284992.0,51848.0,51473.134,287304.0,2158.0,2128.302,1260.626,1260.625,1251.516,52.469,52.471000000000004,51.729,307.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,15184.34,19700.764,6733.200000000001,934.322,483.99399999999997,653043.294,0.0,216124.498,3471.58,0.0,0.0,13664.052000000001,181.0,23468.46,184.982,14888615464.0,0.0,0.0,0.0,0.0
Afghanistan,2021,39177420.0,106054.0,106406.419,1762889.0,5194.0,5220.993,3839.21,2578.583,2587.131,178.756,126.287,126.936,366.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29225124.0,19368570.0,9741539.0,0.0,6874.0,4697205.0,11.37,10.07,9.13,0.0,114205.0,4164530.0,10.164,10673.41,19864.03,6789.000000000001,942.0649999999999,488.005,658455.255,0.0,217915.585,3500.35,0.0,0.0,13777.29,182.5,23662.95,186.51500000000001,15012001780.0,0.0,0.0,0.0,0.0
Afghanistan,2022,67576323.0,49420.0,49442.45,2808171.0,493.0,495.71,5040.802,1201.589,1202.137,190.742,11.989,12.008000000000001,383.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4623226.0,0.0,115.294,0.0,136714.0,3.431,18.0756,2714.6,469999765.0,420429146.0,381759724.0,0.0,68085.0,7787350.0,30.27,27.86,26.15,0.0,189332.0,7328624.0,17.817,4166.71,19864.03,6789.000000000001,942.0649999999999,488.005,658455.255,0.0,217915.585,3500.35,0.0,0.0,13777.29,182.5,23662.95,186.51500000000001,15012001780.0,0.0,0.0,0.0,0.0
Afghanistan,2023,80261137.0,23053.0,22795.832,2890083.0,128.0,125.45599999999999,5601.31,560.506,554.245,193.855,3.113,2.978,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159922190.0,998780343.0,952498973.0,95379886.0,3316.0,10098632.0,54.97,45.95,44.05,231.94,245535.0,7388000.0,17.958,0.0,19864.03,6789.000000000001,942.0649999999999,488.005,658455.255,0.0,217915.585,3500.35,0.0,0.0,13777.29,182.5,23662.95,186.51500000000001,15012001780.0,0.0,0.0,0.0,0.0
Afghanistan,2024,17822726.0,2028.0,2126.566,614392.0,9.0,11.575999999999999,5650.619,49.309,51.702,194.073,0.219,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,4190.494,1432.2,198.737,102.949,138906.999,0.0,45971.233,738.43,0.0,0.0,2906.442,38.5,4991.91,39.347,3166915444.0,0.0,0.0,0.0,0.0
Africa,2020,285057531.0,2662452.0,2618623.43,7179617.0,62637.0,61667.287,1866.113,1866.114,1835.403,43.9,43.905,43.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516478654268.0,0.0,0.0,0.0,0.0
Africa,2021,2222352066.0,6972838.0,6973664.584,56635089.0,165121.0,165891.555,6752.764,4887.267,4887.847,159.634,115.73,116.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31177764525.0,20079597526.0,12058155422.0,29432995.0,310645245.0,305891736.0,21.27,13.57,8.74,2.04,214403.0,193934745.0,13.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520758864110.0,0.0,0.0,0.0,0.0
Africa,2022,4480156023.0,3360196.0,3403198.007,92413289.0,30733.0,30932.146,9107.795,2355.163,2385.325,181.174,21.541999999999998,21.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196562291535.0,124087940410.0,95782656979.0,11904995729.0,435561504.0,438855641.0,51.47,33.52,27.47,834.34,307595.0,288441240.0,20.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520758864110.0,0.0,0.0,0.0,0.0
Africa,2023,4777567827.0,139397.0,137084.453,94503769.0,579.0,575.6,9205.225,97.708,96.1,181.579,0.408,0.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263778047647.0,170477328379.0,141318256148.0,28085707554.0,116104780.0,114502055.0,60.5,38.9,32.41,1968.48,80250.0,68023431.0,4.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520758864110.0,0.0,0.0,0.0,0.0
Africa,2024,1011645888.0,6399.0,8593.291,19949518.0,29.0,31.576,9209.71,4.484,6.023,181.6,0.019,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109858719278.0,0.0,0.0,0.0,0.0
Albania,2020,3444855.0,55380.0,54415.424,82502.0,1134.0,1114.579,19484.097,19484.094,19144.72,398.97,398.967,392.129,311.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19827197.0,247526.0,6945.4349999999995,86.717,240508.0,84.251,53.4043,2232.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,20201.78,37963.301999999996,13756.0,4774.0560000000005,3128.766,4272842.022,398.20000000000005,110118.59,3648.96,2570.2,18534.4,0.0,1046.18,28442.339999999997,287.79,1028919116.0,16463.80008,73.76,335.94,5742.818713000001
Albania,2021,50363543.0,151841.0,152520.29,861222.0,2053.0,2068.294,72905.635,53421.541,53660.525,1121.268,722.299,727.687,371.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284952365.0,1175840.0,99818.326,411.9,1169139.0,409.558,46.1838,28675.5,240731562.0,123926008.0,99613764.0,1976243.0,1378369.0,2316457.0,81.5,40.16,36.28,69.54,814985.0,1141711.0,40.160000000000004,17735.68,38277.915,13870.0,4813.62,3154.695,4308252.315,401.50000000000006,111031.175,3679.2,2591.5,18688.0,0.0,1054.8500000000001,28678.05,290.175,1037446070.0,132044.39299999998,387.02,485.2,46254.9239
Albania,2022,107246167.0,125449.0,125734.288,1279329.0,409.0,413.181,117041.795,44136.156,44236.547,1265.165,143.898,145.385,359.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98164303.0,190504.0,34386.785,66.736,202509.0,70.941,60.7273,625.7,130080958.0,60305268.0,56642157.0,13157441.0,39322.0,719784.0,106.45,47.22,44.68,462.97,253243.0,201832.0,7.104,7855.73,38277.915,13870.0,4813.62,3154.695,4308252.315,401.50000000000006,111031.175,3679.2,2591.5,18688.0,0.0,1054.8500000000001,28678.05,290.175,1037446070.0,194704.58299999998,353.54,52.75,68502.0407
Albania,2023,121890513.0,1926.0,1926.001,1314865.0,8.0,8.008,117719.411,677.617,677.607,1267.979,2.816,2.8070000000000004,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24551776.0,10776027.0,10210528.0,3155733.0,0.0,52836.0,108.68,47.47,45.01,111.03,18574.0,5914.0,0.179,0.0,38277.915,13870.0,4813.62,3154.695,4308252.315,401.50000000000006,111031.175,3679.2,2591.5,18688.0,0.0,1054.8500000000001,28678.05,290.175,1037446070.0,136069.877,182.74,-54.519999999999996,48039.7595
Albania,2024,25780287.0,267.0,267.00800000000004,277565.0,1.0,1.001,117813.348,93.93700000000001,93.94,1268.331,0.352,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,8075.067,2926.0,1015.476,665.5110000000001,908864.187,84.7,23423.015,776.16,546.6999999999999,3942.4,0.0,222.53,6049.889999999999,61.215,218858486.0,0.0,0.0,0.0,0.0
Algeria,2020,10188569.0,97857.0,96978.139,365661.0,2722.0,2703.992,2179.287,2179.288,2159.703,60.619,60.619,60.227,308.14,5692.0,126.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,22042.09,6279.976,10534.2,2248.382,1396.2340000000002,5036809.718,181.0,100767.768,2436.26,253.39999999999998,11004.8,30314.242,687.8,27830.559999999998,270.776,16254968536.0,210027.30007,137.11,326.13,4833.5843497000005
Algeria,2021,56701717.0,118519.0,119105.567,1549673.0,3507.0,3518.021,4818.718,2639.437,2652.4900000000002,138.721,78.096,78.343,364.84,8394.0,186.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185173738.0,106450533.0,74709427.0,58888.0,170786.0,12708853.0,27.94,15.72,12.49,0.14,283003.0,7134946.0,15.896,21641.5,6332.0199999999995,10621.5,2267.0150000000003,1407.805,5078551.235,182.5,101602.85999999999,2456.4500000000003,255.49999999999997,11096.0,30565.465,693.5,28061.199999999997,273.02,16389678220.0,0.0,0.0,0.0,0.0
Algeria,2022,96321805.0,54818.0,55110.28,2489192.0,652.0,659.001,6039.521,1220.8029999999999,1227.295,153.241,14.519,14.66,345.69,2507.0,55.835,0.0,0.0,0.0,0.0,0.0,0.0,230553.0,0.0,5.219,0.0,0.0,0.0,0.0,0.0,113223518.0,53090373.0,43430513.0,3847105.0,0.0,2562057.0,34.0,17.46,14.43,8.54,57075.0,710506.0,1.5839999999999999,9327.44,6332.0199999999995,10621.5,2267.0150000000003,1407.805,5078551.235,182.5,101602.85999999999,2456.4500000000003,255.49999999999997,11096.0,30565.465,693.5,28061.199999999997,273.02,16389678220.0,0.0,0.0,0.0,0.0
Algeria,2023,99188086.0,816.0,816.004,2511565.0,0.0,0.0,6057.694,18.173000000000002,18.158,153.241,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,6332.0199999999995,10621.5,2267.0150000000003,1407.805,5078551.235,182.5,101602.85999999999,2456.4500000000003,255.49999999999997,11096.0,30565.465,693.5,28061.199999999997,273.02,16389678220.0,0.0,0.0,0.0,0.0
Algeria,2024,20944770.0,0.0,0.0,529837.0,0.0,0.0,6057.694,0.0,0.0,153.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1335.7959999999998,2240.7000000000003,478.247,296.98900000000003,1071365.603,38.5,21434.028,518.21,53.9,2340.7999999999997,6448.057,146.29999999999998,5919.759999999999,57.596,3457548556.0,0.0,0.0,0.0,0.0
American Samoa,2020,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,100710.20999999999,0.0,0.0,0.0,0.0,0.0,102717.5,0.0,0.0,0.0,0.0,0.0,26693.879999999997,0.0,16034790.0,0.0,0.0,0.0,0.0
American Samoa,2021,542.0,11.0,11.004,0.0,0.0,0.0,248.335,248.33599999999998,248.33200000000002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,101544.825,0.0,0.0,0.0,0.0,0.0,103568.75,0.0,0.0,0.0,0.0,0.0,26915.1,0.0,16167675.0,0.0,0.0,0.0,0.0
American Samoa,2022,2036654.0,8255.0,8254.988,8421.0,34.0,34.006,186612.484,186364.153,186364.136,767.581,767.583,767.5780000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,101544.825,0.0,0.0,0.0,0.0,0.0,103568.75,0.0,0.0,0.0,0.0,0.0,26915.1,0.0,16167675.0,0.0,0.0,0.0,0.0
American Samoa,2023,3042978.0,93.0,93.016,12410.0,0.0,0.0,188712.044,2099.559,2099.538,767.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,101544.825,0.0,0.0,0.0,0.0,0.0,103568.75,0.0,0.0,0.0,0.0,0.0,26915.1,0.0,16167675.0,0.0,0.0,0.0,0.0
American Samoa,2024,643643.0,0.0,0.0,2618.0,0.0,0.0,188712.044,0.0,0.0,767.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,21421.785,0.0,0.0,0.0,0.0,0.0,21848.75,0.0,0.0,0.0,0.0,0.0,5677.98,0.0,3410715.0,0.0,0.0,0.0,0.0
Andorra,2020,650844.0,7806.0,7735.722,15185.0,83.0,82.14099999999999,97766.867,97766.871,96886.572,1039.54,1039.54,1028.785,268.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381944.0,0.0,17485.436,0.0,77381.0,979.085,8.3038,1303.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,13987.42,59279.31,0.0,0.0,0.0,0.0,0.0,39506.87,2885.14,10498.0,13683.599999999999,0.0,0.0,30310.260000000002,314.216,28903166.0,656.799969,333.11,345.66,8450.5224573
Andorra,2021,5023319.0,13924.0,13825.58,44435.0,56.0,56.165,272159.112,174392.247,173159.44999999998,1740.917,701.381,703.134,393.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10076276.0,0.0,127492.925,0.0,143478.0,1815.406,30.2282,6153.8,1584366.0,909138.0,596471.0,17299.0,4802.0,118698.0,146.85,71.5,64.37,21.66,1486628.0,56753.0,71.106,18028.68,59770.575,0.0,0.0,0.0,0.0,0.0,39834.275,2909.0499999999997,10585.0,13796.999999999998,0.0,0.0,30561.45,316.82,29142695.0,1508.0,299.38,183.93,19074.8447
Andorra,2022,15435555.0,25956.0,26124.735,55677.0,19.0,19.732999999999997,597247.097,325087.987,327201.055,1978.884,237.972,246.88299999999998,222.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2335487.0,0.0,29550.408,0.0,31985.0,404.697,27.9041,117.2,3319940.0,1272669.0,1174518.0,739027.0,0.0,37301.0,195.69,72.52,66.99,925.59,467177.0,744.0,0.92,4685.4,59770.575,0.0,0.0,0.0,0.0,0.0,39834.275,2909.0499999999997,10585.0,13796.999999999998,0.0,0.0,30561.45,316.82,29142695.0,0.0,0.0,0.0,0.0
Andorra,2023,17507968.0,329.0,329.007,58028.0,1.0,1.001,601367.684,4120.5869999999995,4120.578,1991.408,12.525,12.523,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941954.0,347454.0,320982.0,258385.0,0.0,666.0,196.73,72.53,67.01,323.61,8341.0,0.0,0.0,0.0,59770.575,0.0,0.0,0.0,0.0,0.0,39834.275,2909.0499999999997,10585.0,13796.999999999998,0.0,0.0,30561.45,316.82,29142695.0,0.0,0.0,0.0,0.0
Andorra,2024,3697155.0,0.0,0.0,12243.0,0.0,0.0,601367.684,0.0,0.0,1991.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,12609.135,0.0,0.0,0.0,0.0,0.0,8403.395,613.6899999999999,2233.0,2910.6,0.0,0.0,6447.21,66.836,6147911.0,0.0,0.0,0.0,0.0
Angola,2020,1275899.0,17149.0,16999.592,35215.0,400.0,396.022,481.862,481.86,477.654,11.239,11.238,11.088,222.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,21347.65,8648.18,6081.6,870.6099999999999,493.04400000000004,2106657.19,0.0,99928.29000000001,1426.28,0.0,0.0,9652.368,0.0,22136.3,210.32199999999997,12883216552.0,0.0,0.0,0.0,0.0
Angola,2021,14570875.0,53993.0,53389.043,363145.0,1346.0,1348.88,1998.989,1517.123,1500.159,49.06,37.822,37.859,394.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180255428.0,113173102.0,54367134.0,0.0,0.0,11483683.0,32.64,21.59,11.04,0.0,322675.0,7610350.0,21.375,21485.02,8719.85,6132.0,877.8249999999999,497.13000000000005,2124115.675,0.0,100756.425,1438.1,0.0,0.0,9732.36,0.0,22319.75,212.065,12989983540.0,0.0,0.0,0.0,0.0
Angola,2022,36704361.0,33928.0,34681.435,694578.0,183.0,184.165,2952.317,953.332,974.479,54.202,5.141,5.17,103.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42850383.0,28136.0,1241.905,0.8150000000000001,289656.0,8.391,1.9938,10653.3,707987229.0,439196619.0,234804717.0,21769560.0,0.0,12357355.0,66.6,42.12,23.19,61.2,347212.0,7445988.0,20.927,13744.75,8719.85,6132.0,877.8249999999999,497.13000000000005,2124115.675,0.0,100756.425,1438.1,0.0,0.0,9732.36,0.0,22319.75,212.065,12989983540.0,0.0,0.0,0.0,0.0
Angola,2023,38591122.0,1858.0,1679.733,706221.0,8.0,8.008,3004.524,52.202999999999996,47.153999999999996,54.427,0.224,0.224,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510246609.0,314919457.0,176998844.0,42020650.0,0.0,3875517.0,77.9,46.43,26.95,118.08,108893.0,1465782.0,4.14,0.0,8719.85,6132.0,877.8249999999999,497.13000000000005,2124115.675,0.0,100756.425,1438.1,0.0,0.0,9732.36,0.0,22319.75,212.065,12989983540.0,0.0,0.0,0.0,0.0
Angola,2024,8259048.0,399.0,577.298,149149.0,0.0,0.0,3015.736,11.211,16.217,54.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1839.53,1293.6000000000001,185.18499999999997,104.87400000000001,448101.115,0.0,21255.465,303.38,0.0,0.0,2053.128,0.0,4708.55,44.736999999999995,2740352692.0,0.0,0.0,0.0,0.0
Anguilla,2020,1005.0,12.0,11.44,0.0,0.0,0.0,755.81,755.8100000000001,719.814,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29640.559999999998,0.0,5747474.0,0.0,0.0,0.0,0.0
Anguilla,2021,124455.0,1634.0,1626.861,219.0,5.0,4.861999999999999,103671.978,102916.167,102466.268,314.921,314.92,305.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83038.0,0.0,5271.25,0.0,18759.0,1190.808,5.3249,7230.099999999999,476291.0,271433.0,165917.0,2308.0,1421.0,21124.0,127.76,63.48,58.09,14.55,1330497.0,10559.0,66.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29886.199999999997,0.0,5795105.0,0.0,0.0,0.0,0.0
Anguilla,2022,1174552.0,2258.0,2265.697,3568.0,7.0,7.1499999999999995,245890.282,142218.301,142704.17799999999,755.81,440.88800000000003,449.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691143.0,317197.0,295869.0,56005.0,0.0,3767.0,153.94,68.35,65.33,352.73,237313.0,714.0,4.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29886.199999999997,0.0,5795105.0,0.0,0.0,0.0,0.0
Anguilla,2023,1424960.0,0.0,0.0,4380.0,0.0,0.0,245890.282,0.0,0.0,755.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122645.0,54268.0,51894.0,12811.0,0.0,117.0,154.97,68.36,65.38,80.68,7371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29886.199999999997,0.0,5795105.0,0.0,0.0,0.0,0.0
Anguilla,2024,300608.0,0.0,0.0,924.0,0.0,0.0,245890.282,0.0,0.0,755.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6304.759999999999,0.0,1222529.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2020,22209.0,155.0,154.171,837.0,5.0,5.005,1652.945,1652.938,1643.77,53.321,53.32,53.312,50.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22948.0,0.0,246.17000000000002,0.0,3408.0,36.567,1.5454,7601.9,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,83927.89,11620.2,2509.746,1676.422,7779721.365999999,0.0,69326.982,4767.54,0.0,0.0,0.0,1375.6,27881.239999999998,281.636,33945464.0,-263.6000087,-55.65,-106.06,-2844.440697
Antigua and Barbuda,2021,674164.0,4074.0,4070.45,18267.0,113.0,112.886,45098.75,43445.804,43407.707,1258.371,1205.045,1203.499,309.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70971.0,0.0,761.327,0.0,10492.0,112.569,19.5123,5631.2,5849886.0,3340114.0,2448110.0,0.0,8107.0,123722.0,129.19,66.42,62.77,0.0,1319372.0,64978.0,69.288,0.0,84623.425,11716.5,2530.545,1690.315,7844194.194999999,0.0,69901.515,4807.05,0.0,0.0,0.0,1387.0,28112.3,283.97,34226780.0,-634.800018,-66.25,1.9099999999999966,-6809.04031
Antigua and Barbuda,2022,2961575.0,4877.0,4881.406,50756.0,28.0,28.157,97107.879,52009.128,52056.352,1556.968,298.594,300.087,170.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632902.0,826544.0,732344.0,9838.0,305.0,14910.0,145.58,68.56,66.53,10.49,158989.0,1980.0,2.086,0.0,84623.425,11716.5,2530.545,1690.315,7844194.194999999,0.0,69901.515,4807.05,0.0,0.0,0.0,1387.0,28112.3,283.97,34226780.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2023,3323690.0,0.0,0.0,53290.0,0.0,0.0,97107.879,0.0,0.0,1556.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,84623.425,11716.5,2530.545,1690.315,7844194.194999999,0.0,69901.515,4807.05,0.0,0.0,0.0,1387.0,28112.3,283.97,34226780.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2024,701162.0,0.0,0.0,11242.0,0.0,0.0,97107.879,0.0,0.0,1556.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,17852.065,2471.7000000000003,533.841,356.587,1654802.611,0.0,14746.347,1014.09,0.0,0.0,0.0,292.59999999999997,5930.54,59.906,7220444.0,0.0,0.0,0.0,0.0
Argentina,2020,150996020.0,1629908.0,1617090.014,5007650.0,47507.0,47261.577,35814.028,35814.029,35532.359,1043.873,1043.874,1038.4759999999999,332.56,538765.0,11838.306,0.0,0.0,0.0,0.0,0.0,0.0,481141503.0,5126379.0,10626.679,113.212,5001629.0,110.466,82.704,2116.2,104495.0,104476.0,16.0,3.0,22908.0,31556.0,0.1,0.1,0.0,0.0,694.0,31549.0,0.069,26119.78,5920.782,11675.4,4098.468,2723.406,6929809.961999999,219.6,69917.712,2013.0,5929.2,10138.199999999999,0.0,1830.0,28061.22,309.27,16656778584.0,72848.79896,14.190000000000001,130.97,1617.5669533999999
